ts,pct
2026-07-06T09:00:00+0900,0.3436
2026-07-06T09:05:00+0900,0.5343
2026-07-06T09:10:00+0900,0.5674
2026-07-06T09:15:00+0900,0.7605
2026-07-06T09:20:00+0900,0.553
2026-07-06T09:25:00+0900,0.177
2026-07-06T09:30:00+0900,0.5218
2026-07-06T09:35:00+0900,0.9007
2026-07-06T09:40:00+0900,1.1349
2026-07-06T09:45:00+0900,1.5411
2026-07-06T09:50:00+0900,1.2589
2026-07-06T09:55:00+0900,1.0248
2026-07-06T10:00:00+0900,0.733
2026-07-06T10:05:00+0900,0.6185
2026-07-06T10:10:00+0900,0.6701
2026-07-06T10:15:00+0900,0.6678
2026-07-06T10:20:00+0900,0.8039
2026-07-06T10:25:00+0900,0.96
2026-07-06T10:30:00+0900,0.9732
2026-07-06T10:35:00+0900,0.7548
2026-07-06T10:40:00+0900,0.5914
2026-07-06T10:45:00+0900,0.5234
2026-07-06T10:50:00+0900,0.599
2026-07-06T10:55:00+0900,0.7442
2026-07-06T11:00:00+0900,0.7268
2026-07-06T11:05:00+0900,0.707
2026-07-06T11:10:00+0900,0.6623
2026-07-06T11:15:00+0900,0.7097
2026-07-06T11:20:00+0900,0.851
2026-07-06T11:25:00+0900,0.8517
2026-07-06T11:30:00+0900,0.854
2026-07-06T11:35:00+0900,0.854
2026-07-06T11:40:00+0900,0.854
2026-07-06T11:45:00+0900,0.854
2026-07-06T11:50:00+0900,0.854
2026-07-06T11:55:00+0900,0.854
2026-07-06T12:00:00+0900,0.854
2026-07-06T12:05:00+0900,0.854
2026-07-06T12:10:00+0900,0.854
2026-07-06T12:15:00+0900,0.854
2026-07-06T12:20:00+0900,0.854
2026-07-06T12:25:00+0900,0.854
2026-07-06T12:30:00+0900,0.916
2026-07-06T12:35:00+0900,0.9442
2026-07-06T12:40:00+0900,0.7357
2026-07-06T12:45:00+0900,0.6277
2026-07-06T12:50:00+0900,0.7464
2026-07-06T12:55:00+0900,0.9092
2026-07-06T13:00:00+0900,0.9039
2026-07-06T13:05:00+0900,0.8659
2026-07-06T13:10:00+0900,0.9116
2026-07-06T13:15:00+0900,0.8939
2026-07-06T13:20:00+0900,0.9787
2026-07-06T13:25:00+0900,1.0509
2026-07-06T13:30:00+0900,1.0191
2026-07-06T13:35:00+0900,1.1869
2026-07-06T13:40:00+0900,1.1331
2026-07-06T13:45:00+0900,1.0774
2026-07-06T13:50:00+0900,1.0933
2026-07-06T13:55:00+0900,1.0742
2026-07-06T14:00:00+0900,1.0285
2026-07-06T14:05:00+0900,1.0551
2026-07-06T14:10:00+0900,1.2086
2026-07-06T14:15:00+0900,1.2209
2026-07-06T14:20:00+0900,1.2383
2026-07-06T14:25:00+0900,1.3578
2026-07-06T14:30:00+0900,1.3705
2026-07-06T14:35:00+0900,1.3555
2026-07-06T14:40:00+0900,1.3637
2026-07-06T14:45:00+0900,1.2109
2026-07-06T14:50:00+0900,1.3652
2026-07-06T14:55:00+0900,1.2996
2026-07-06T15:00:00+0900,1.2931
2026-07-06T15:05:00+0900,1.3728
2026-07-06T15:10:00+0900,1.3257
2026-07-06T15:15:00+0900,1.4234
2026-07-06T15:20:00+0900,1.4346
2026-07-06T15:25:00+0900,1.4346
2026-07-06T15:30:00+0900,1.4346
